,specificity,actionability,compliance,outcome_evidence,risk_tone,transparency,TOS_final,doc_index
0,0.3,0.7778,0.04249,0.7,0.0,0.5788888888888889,0.4480024444444445,360 ONE WAM LIMITED
1,0.3,0.7778,0.061665,0.7,0.0,0.41666666666666674,0.44372633333333333,3I Infotech Limited
2,0.0,0.5556,0.06588,0.25,0.0,0.49,0.22379599999999997,63 moons technologies limited
3,0.0,0.5556,0.0244,0.25,0.0,0.42,0.212,ABANS HOLDINGS LIMITED
4,0.0,0.5556,0.0244,0.25,0.0,0.2,0.201,ADANI POWER LIMITED
5,0.0,0.5556,0.023845,0.25,0.0,0.2,0.20088899999999998,ADANI WILMAR LIMITED
6,0.0,0.7778,0.04111,0.45,0.0,0.2,0.30878200000000006,ADITYA VISION LIMITED
7,0.3,1.0,0.040260000000000004,0.7,0.0,0.7333333333333333,0.4997186666666667,AJMERA REALTY & INFRA INDIA LIMITED
8,0.0,0.7778,0.043742,0.45,0.0,0.574,0.32800840000000003,ALEMBIC PHARMACEUTICALS LIMITED
9,0.0,0.7778,0.085888,0.45,0.0,0.2,0.31773760000000006,ANAND RATHI WEALTH LIMITED
10,0.65,1.0,0.11644571428571429,0.7,0.0,0.5614285714285714,0.5588605714285714,APAR Industries Limited
11,0.0,0.7778,0.043550000000000005,0.45,0.0,0.45999999999999996,0.32227000000000006,APTECH LIMITED
12,0.0,0.7778,0.10735999999999998,0.45,0.0,0.43999999999999995,0.33403200000000005,ARIHANT CAPITAL MARKETS LIMITED
13,0.0,0.5556,0.08662,0.25,0.0,0.45000000000000007,0.22594400000000003,ARVIND LIMITED
14,0.3,0.7778,0.13168,0.7,0.0,0.42,0.457896,ASHIANA HOUSING LIMITED
15,0.0,0.7778,0.02196,0.25,0.0,0.2,0.24495200000000006,ASHOKA BUILDCON LIMITED
16,0.0,0.5556,0.0732,0.25,0.0,0.45000000000000007,0.22326000000000001,ASK Automotive Limited
17,0.0,0.5556,0.06588,0.25,0.0,0.2,0.20929599999999998,AU Small Finance Bank Limited
18,0.0,0.5556,0.04514,0.25,0.0,0.4,0.215148,AVANTEL LIMITED
19,0.0,0.7778,0.0412025,0.45,0.0,0.615,0.3295505,AXISCADES Technologies Limited (hereafter referred to as “AXISCADES” or the “Company”)
20,0.0,0.5556,0.06344,0.25,0.0,0.42,0.21980799999999998,Aarti Industries Limited
21,0.0,0.5556,0.0488,0.25,0.0,0.45000000000000007,0.21838000000000002,Aavas Financiers Limited
22,0.3,1.0,0.07773142857142858,0.7,0.0,0.40714285714285714,0.49090342857142855,Accelya Solutions India Limited
23,0.3,1.0,0.08052000000000001,0.7,0.0,0.6533333333333333,0.5037706666666666,Adani Energy Solutions Limited [“AESL / the Company”] (formerly known as Adani Transmission Limited)
24,0.5,0.7778,0.09538181818181818,0.7,0.0,0.6063636363636363,0.4899545454545455,Adani Enterprises Limited
25,0.3,1.0,0.11066857142857144,0.7,0.0,0.5861904761904762,0.5064432380952381,"Adani Green Energy Limited (""AGEL"" / ""Company"")"
26,0.0,0.5556,0.061,0.45,0.0,0.6033333333333333,0.28848666666666667,Adani Ports and Special Economic Zone Limited
27,0.0,0.5556,0.0427,0.35,0.0,0.41666666666666674,0.24549333333333334,Adani Total Gas Limited (ATGL)
28,0.3,1.0,0.08662,0.7,0.0,0.43999999999999995,0.494324,Aditya Birla Sun Life AMC Limited
29,0.0,0.5556,0.023845,0.25,0.0,0.2,0.20088899999999998,Affle (India) Limited
30,0.0,0.5556,0.02074,0.25,0.0,0.2,0.200268,Agarwal Industrial Corporation Limited
31,0.0,0.5556,0.0,0.25,0.0,0.5,0.21112,Ahluwalia Contracts (India) Limited
32,0.0,0.7778,0.09715624999999999,0.45,0.0,0.41000000000000003,0.33049125000000007,Ajanta Pharma Limited
33,0.0,0.5556,0.0566075,0.25,0.0,0.425,0.21869149999999998,Allcargo Logistics Limited
34,0.0,0.7778,0.09640199999999999,0.45,0.0,0.5753333333333334,0.3386070666666667,Amara Raja Energy and Mobility Limited
35,0.0,0.5556,0.02196,0.25,0.0,0.42,0.211512,Ambuja Cements Limited
36,0.0,0.5556,0.0695,0.45,0.0,0.2,0.27002000000000004,Anant Raj Limited
37,0.0,0.7778,0.13574142857142857,0.25,0.0,0.6414285714285715,0.2897797142857143,Antony Waste Handling Cell Limited
38,0.0,0.5556,0.023180000000000003,0.45,0.0,0.2,0.260756,Apollo Hospitals Enterprise Limited [AHEL]
39,0.0,0.7778,0.042056,0.25,0.0,0.574,0.26767120000000005,Apollo Tyres Limited
40,0.0,0.5556,0.11829999999999999,0.25,0.0,0.75,0.24728000000000003,Aptus Value Housing Finance India Limited
41,0.0,0.7778,0.042944,0.45,0.0,0.2,0.30914880000000006,Arman Financial Services Limited
42,0.0,0.5556,0.086065,0.25,0.0,0.6399999999999999,0.235333,Artemis Medicare Services Limited
43,0.0,0.5556,0.0976,0.25,0.0,0.45000000000000007,0.22814,Arvind Fashions Limited
44,0.0,0.7778,0.081555,0.45,0.0,0.5666666666666667,0.3352043333333333,Arvind SmartSpaces Limited
45,0.0,0.7778,0.08206999999999999,0.45,0.0,0.2,0.31697400000000003,Ashok Leyland Limited
46,0.0,0.5556,0.07443571428571429,0.25,0.0,0.39714285714285713,0.22086428571428568,Asian Paints Limited
47,0.0,0.7778,0.04392,0.25,0.0,0.6699999999999999,0.27284400000000003,Asian Star Company Limited
48,0.0,0.5556,0.081555,0.45,0.0,0.43333333333333335,0.28409766666666664,Aster DM Healthcare Limited
49,0.0,0.5556,0.07824,0.25,0.0,0.424,0.222968,Aurionpro Solutions Limited
50,0.0,0.5556,0.065325,0.25,0.0,0.4,0.21918500000000002,Aurobindo Pharma Limited
51,0.0,0.5556,0.0619425,0.45,0.0,0.6549999999999999,0.29125850000000003,Avadh Sugar & Energy Limited (''ASEL'')
52,0.0,0.7778,0.09310857142857143,0.45,0.0,0.39714285714285713,0.3290388571428572,Avanti Feeds Limited
53,0.3,0.7778,0.05948210526315789,0.7,0.0,0.6121052631578947,0.45306168421052634,Avenue Supermarts Limited
54,0.0,0.5556,0.06954,0.25,0.0,0.43999999999999995,0.22202799999999998,Axis Bank Limited
55,0.0,0.7778,0.07824625,0.25,0.0,0.6275,0.27758425000000003,BALKRISHNA INDUSTRIES LIMITED
56,0.0,0.5556,0.09028,0.35,0.0,0.42,0.255176,BANK OF INDIA
57,0.5,1.0,0.09469399999999999,0.7,0.0,0.582,0.5330388,BANK OF MAHARASHTRA
58,0.0,0.5556,0.02074,0.25,0.0,0.5,0.215268,BERGER PAINTS INDIA LTD.
59,0.0,0.5556,0.02074,0.25,0.0,0.2,0.200268,BF INVESTMENT LIMITED
60,0.0,0.5556,0.06588,0.25,0.0,0.41666666666666674,0.22012933333333332,BHARAT HEAVY ELECTRICALS LIMITED
61,0.3,1.0,0.09399571428571428,0.7,0.0,0.44571428571428573,0.49608485714285716,BLS International Services Limited
62,0.0,0.5556,0.04134125,0.45,0.0,0.36250000000000004,0.27251325,BOSCH LIMITED
63,0.0,0.5556,0.06292,0.25,0.0,0.42,0.21970399999999998,Bajaj Auto Ltd.
64,0.0,0.5556,0.059536,0.45,0.0,0.5886666666666667,0.2874605333333333,Bajaj Finance Limited
65,0.0,0.5556,0.04022,0.25,0.0,0.38333333333333336,0.21333066666666667,Bajaj Hindusthan Sugar Limited
66,0.0,0.5556,0.060186666666666666,0.45,0.0,0.5922222222222222,0.28776844444444444,Bajaj Holdings & Investment Limited
67,0.0,0.7778,0.10860199999999999,0.25,0.0,0.6819999999999999,0.28638040000000003,Bajel Projects Limited
68,0.0,0.7778,0.06466,0.45,0.0,0.4,0.32349200000000006,Balrampur Chini Mills Limited
69,0.0,0.5556,0.06588,0.45,0.0,0.38333333333333336,0.27846266666666664,Bandhan Bank Limited
70,0.45,0.7778,0.045472727272727276,0.7,0.0,0.3863636363636364,0.4614727272727273,Bank of Baroda
71,0.0,0.7778,0.06709999999999999,0.45,0.0,0.4,0.32398000000000005,Bata India Limited
72,0.65,0.7778,0.040165,0.7,0.0,0.6,0.5010930000000001,Bayer CropScience Limited
73,0.0,0.5556,0.0,0.25,0.0,0.2,0.19612000000000002,Bengal & Assam Company Limited
74,0.0,0.5556,0.0,0.25,0.0,0.2,0.19612000000000002,Bharat Dynamics Limited
75,0.0,0.7778,0.06087666666666666,0.45,0.0,0.5944444444444444,0.33245755555555556,Bharat Forge Limited
76,0.3,0.7778,0.0544172,0.7,0.0,0.4104,0.44196344,Bharat Petroleum Corporation Limited
77,0.0,0.7778,0.14343999999999998,0.25,0.0,0.45999999999999996,0.28224800000000005,Bharti Airtel Limited
78,0.0,0.7778,0.14343999999999998,0.25,0.0,0.45999999999999996,0.28224800000000005,Bharti Hexacom Limited
79,0.0,0.5556,0.085888,0.25,0.0,0.598,0.23319760000000003,Biocon Limited
80,0.0,0.7778,0.02196,0.25,0.0,0.2,0.24495200000000006,Birla Corporation Limited
81,0.3,0.7778,0.042056,0.7,0.0,0.594,0.4486712,Birlasoft Limited
82,0.3,0.7778,0.0339925,0.7,0.0,0.605,0.4476085,Black Box Limited
83,0.0,0.5556,0.016042499999999998,0.25,0.0,0.2,0.19932850000000002,Black Rose Industries Limited
84,0.0,0.5556,0.0990025,0.25,0.0,0.645,0.2381705,Blue Dart Express Limited
85,0.0,0.5556,0.042944,0.25,0.0,0.6699999999999999,0.22820880000000002,Borosil Limited
86,0.0,0.7778,0.0448625,0.25,0.0,0.375,0.2582825,Britannia Industries Limited
87,0.0,0.5556,0.1220875,0.25,0.0,0.41000000000000003,0.2310375,C.E. INFO SYSTEMS LIMITED
88,0.0,0.7778,0.02196,0.25,0.0,0.2,0.24495200000000006,CAPACIT''E INFRAPROJECTS LIMITED
89,0.5,0.7778,0.078965,0.7,0.0,0.42,0.477353,CAPITAL INDIA FINANCE LIMITED
90,0.0,0.5556,0.0244,0.25,0.0,0.45000000000000007,0.21350000000000002,CARE Ratings Limited
91,0.0,0.7778,0.11704666666666666,0.25,0.0,0.6366666666666666,0.2858026666666667,CARTRADE TECH LIMITED
92,0.0,0.5556,0.043550000000000005,0.25,0.0,0.45999999999999996,0.21783,CEAT Limited
93,0.0,0.5556,0.047336,0.25,0.0,0.598,0.22548720000000003,CELLO WORLD LIMITED
94,0.0,0.7778,0.07478749999999999,0.45,0.0,0.4,0.32551750000000007,CESC Limited
95,0.0,0.7778,0.084235,0.45,0.0,0.41000000000000003,0.32790700000000006,"CG Power and Industrial Solutions Limited (""the Company"" or ""CG"")"
96,0.0,0.5556,0.0732,0.25,0.0,0.45000000000000007,0.22326000000000001,CHENNAI PETROLEUM CORPORATION LIMITED
97,0.0,0.7778,0.079699,0.45,0.0,0.41600000000000004,0.32729980000000003,CITY UNION BANK LIMITED
98,0.0,0.5556,0.020217142857142857,0.45,0.0,0.2,0.2601634285714286,COAL INDIA LIMITED
99,0.5,1.0,0.074085,0.9,0.0,0.4166666666666667,0.5806503333333334,COROMANDEL INTERNATIONAL LIMITED
100,0.65,0.7778,0.04148,0.7,0.0,0.2,0.4813560000000001,CSB Bank Limited
101,0.0,0.7778,0.09326,0.45,0.0,0.4044444444444445,0.3294342222222223,Can Fin Homes Limited (CFHL)
102,0.3,0.7778,0.116,0.7,0.0,0.4257142857142857,0.45504571428571433,Canara Bank
103,0.6,0.7778,0.061488,0.7,0.0,0.468,0.49125759999999996,Capri Global Capital Limited
104,0.0,0.7778,0.03989,0.25,0.0,0.5866666666666667,0.26787133333333335,Central Bank of India
