Global_SRS_Rank,Company,Sector,SRS,Sector_SRS_Rank,Risk_Level,Overall_TOS,TOS_P3,TOS_P5,TOS_P8,TOS_P9
1,nestle_india_ltd_2023_2024,FMCG,0.0,1,Low,0.751835,0.7926,0.74,0.6667,0.7344
2,mahindra_holidays_resorts_india_ltd_2023_2024,Services,0.0,1,Low,0.716195,0.7862,0.7553,0.5345,0.6227
3,united_spirits_ltd_2023_2024,"Breweries, Distilleries and Beverages",0.0,1,Low,0.555635,0.6182,0.5405,0.5698,0.379
4,the_phoenix_mills_ltd_2023_2024,Real Estate & Construction,0.0,1,Low,0.7323,0.8041,0.756,0.5697,0.64
5,minda_corporation_ltd_2023_2024,Transportation and Automotive,0.0,1,Low,0.69985,0.73,0.6826,0.7237,0.6143
6,lgbalakrishnan_brosltd_2023_2024,Retail,0.0,1,Low,0.578615,0.7092,0.4958,0.4426,0.4609
7,bharat_petroleum_corporation_ltd_2023_2024,"Oil, Gas & Consumable Fuels",0.0,1,Low,0.729475,0.7905,0.6859,0.6854,0.6631
8,welspun_living_ltd_2023_2024,"Apparel, Garments and Textiles",0.0,1,Low,0.65913,0.7818,0.4917,0.6308,0.5985
9,hindustan_zinc_ltd_2023_2024,Mining and Metals,0.0,1,Low,0.72585,0.816,0.6156,0.7788,0.5862
10,wonderla_holidays_ltd_2023_2024,Leisure and Recreation Services,0.0,1,Low,0.58034,0.5815,0.7217,0.4587,0.4629
11,star_health_and_allied_insurance_company_ltd_2023_2024,Financial Services,0.0,1,Low,0.710505,0.7825,0.636,0.6925,0.6367
12,nrb_bearings_ltd_2023_2024,Industrial Products and Equipment,0.0,1,Low,0.702755,0.8028,0.7244,0.5419,0.5274
13,ajanta_pharma_ltd_2023_2024,Healthcare,0.0,1,Low,0.666865,0.8063,0.6733,0.4863,0.4184
14,adani_ports_and_special_economic_zone_ltd_2023_2024,Infrastructure and Construction,0.0,1,Low,0.717815,0.8112,0.7337,0.6015,0.5275
15,tvs_srichakra_ltd_2023_2024,Automotive Components & Equipment,0.0,1,Low,0.515955,0.742,0.534,0.2681,0.0556
16,ltimindtree_ltd_2023_2024,"Information, Communication & Technology",0.0,1,Low,0.7103,0.7797,0.7088,0.6144,0.6005
17,prakash_industries_ltd_2023_2024,Manufacturing & Engineering,0.0,1,Low,0.699625,0.7628,0.7396,0.49,0.6531
18,gujarat_themis_biosyn_ltd_2023_2024,Unclassified,0.0,1,Low,0.290375,0.3725,0.1556,0.175,0.384
19,orient_electric_ltd_2023_2024,Consumer Durables,0.0,1,Low,0.73532,0.8403,0.6062,0.74,0.6309
20,jk_paper_ltd_2023_2024,Forestry and Forest Products,0.0,1,Low,0.642015,0.7281,0.5826,0.6796,0.4452
21,paramount_communications_ltd_2023_2024,Media and Entertainment,0.0,1,Low,0.621255,0.7862,0.6939,0.1056,0.521
22,adani_energy_solutions_ltd_2023_2024,Power Generation and Transmission,0.0,1,Low,0.68829,0.7774,0.6237,0.5355,0.6814
23,gujarat_alkalies_chemicals_ltd_2023_2024,Chemicals,0.0,1,Low,0.71329,0.7934,0.7018,0.6243,0.5811
24,ador_welding_ltd_2023_2024,Manufacturing & Engineering,0.77,2,Low,0.69462,0.7634,0.7731,0.4089,0.6432
25,vedanta_limited_2023_2024,Mining and Metals,1.03,2,Low,0.72048,0.8026,0.7197,0.7147,0.4812
26,adani_enterprises_ltd_2023_2024,Infrastructure and Construction,2.89,2,Low,0.70532,0.8061,0.6977,0.5596,0.5614
27,kpit_technologies_ltd_2023_2024,"Information, Communication & Technology",2.96,2,Low,0.69018,0.7747,0.7251,0.5261,0.5425
28,greaves_cotton_ltd_2023_2024,"Apparel, Garments and Textiles",3.65,2,Low,0.639025,0.7622,0.6604,0.4795,0.3934
29,nhpc_ltd_2023_2024,Power Generation and Transmission,3.65,2,Low,0.66413,0.7995,0.4298,0.5904,0.7223
30,juniper_hotels_ltd_2023_2024,Services,3.69,2,Low,0.696305,0.7361,0.6761,0.6533,0.6536
31,vmart_retail_ltd_2023_2024,Retail,3.83,2,Low,0.567805,0.5024,0.5758,0.5701,0.7484
32,nuvama_wealth_management_ltd_2023_2024,Financial Services,3.84,2,Low,0.68838,0.7045,0.7251,0.7043,0.5629
33,kennametal india ltd._brsr2023,Mining and Metals,4.25,3,Low,0.703655,0.8106,0.7001,0.4804,0.612
34,endurance_technologies_ltd_2023_2024,"Information, Communication & Technology",4.76,3,Low,0.67794,0.803,0.6492,0.5383,0.4903
