Rank,Company,SS,AS,CCS,OES,RTS,TOS
1,ador_welding_ltd_2023_2024,0.3146,1.0,0.7778,1.0,1.0,0.7731
2,tata_motors_ltd_2023_2024,0.3019,1.0,0.7778,1.0,1.0,0.7699
3,the_phoenix_mills_ltd_2023_2024,0.3575,1.0,0.6667,1.0,1.0,0.756
4,mahindra_holidays_resorts_india_ltd_2023_2024,0.3546,1.0,0.6667,1.0,1.0,0.7553
5,mahindra_mahindra_financial_services_ltd_2023_2024,0.3478,1.0,0.6667,1.0,1.0,0.7536
6,indian_bank_2023_2024,0.2851,1.0,0.8889,0.8,1.0,0.7435
7,glaxosmithkline_pharmaceuticals_ltd_2023_2024,0.3023,1.0,0.6667,1.0,1.0,0.7423
8,nestle_india_ltd_2023_2024,0.2931,1.0,0.6667,1.0,1.0,0.74
9,prakash_industries_ltd_2023_2024,0.5139,1.0,0.4444,1.0,1.0,0.7396
10,360_one_wam_ltd_2023_2024,0.3979,1.0,0.5556,1.0,1.0,0.7384
11,supreme_petrochem_ltd_2023_2024,0.3899,1.0,0.5556,1.0,1.0,0.7364
12,hdfc_asset_management_company_ltd_2023_2024,0.2768,1.0,0.6667,1.0,1.0,0.7359
13,iifl_securities_ltd_2023_2024,0.2681,1.0,0.6667,1.0,1.0,0.7337
14,adani_ports_and_special_economic_zone_ltd_2023_2024,0.2683,1.0,0.6667,1.0,1.0,0.7337
15,sbfc_finance_ltd_2023_2024,0.353,1.0,0.5556,1.0,1.0,0.7271
16,mahindra_mahindra_ltd_2023_2024,0.353,1.0,0.5556,1.0,1.0,0.7271
17,jindal_saw_ltd_2023_2024,0.3487,1.0,0.5556,1.0,1.0,0.7261
18,itc_ltd_2023_2024,0.3455,1.0,0.5556,1.0,1.0,0.7253
19,kpit_technologies_ltd_2023_2024,0.3449,1.0,0.5556,1.0,1.0,0.7251
20,nuvama_wealth_management_ltd_2023_2024,0.3449,1.0,0.5556,1.0,1.0,0.7251
21,sterlite_technologies_ltd_2023_2024,0.3422,1.0,0.5556,1.0,1.0,0.7244
22,nrb_bearings_ltd_2023_2024,0.3422,1.0,0.5556,1.0,1.0,0.7244
23,adani_green_energy_ltd_2023_2024,0.3412,1.0,0.5556,1.0,1.0,0.7242
24,century_enka_ltd_2023_2024,0.3396,1.0,0.5556,1.0,1.0,0.7238
25,senco_gold_ltd_2023_2024,0.4437,1.0,0.4444,1.0,1.0,0.722
26,wonderla_holidays_ltd_2023_2024,0.3311,1.0,0.5556,1.0,1.0,0.7217
27,vedanta_limited_2023_2024,0.3234,1.0,0.5556,1.0,1.0,0.7197
28,computer_age_management_services_ltd_2023_2024,0.4326,1.0,0.4444,1.0,1.0,0.7193
29,rec_ltd_2023_2024,0.2956,1.0,0.7778,0.8,1.0,0.7183
30,polycab_india_ltd_2023_2024,0.2839,1.0,0.8889,0.7,1.0,0.7182
31,insecticides_india_ltd_2023_2024,0.3119,1.0,0.5556,1.0,1.0,0.7169
32,tata_power_coltd_2023_2024,0.311,1.0,0.5556,1.0,1.0,0.7166
