NameOfTheCompany,Sector,P3_1_raw,P3_2_raw,P3_3_raw,P3_4_raw,P3_5_raw,P3_6_raw,P5_1_raw,P5_2_raw,P5_3_raw,P5_4_raw,P8_1_raw,P8_2_raw,P9_1_raw,P3_1_score,P3_2_score,P3_3_score,P3_4_score,P3_5_score,P3_6_score,P5_1_score,P5_2_score,P5_3_score,P5_4_score,P8_1_score,P8_2_score,P9_1_score,P3_composite,P5_composite,P8_composite,P9_composite,fatality_flag,flag_A,flag_B,flag_C,flag_D,social_quant_score,global_scored,final_social_score
Brigade Enterprises Limited,Accommodation and Food Service Activities,1.0,0.625,0.0015036925872102206,0.0,1.0,0.497,0.5939333333333333,0.8422317813765182,0.5,0.0,0.65,0.0,0.6666666666666666,34.750859106529205,,,0.0,10.094501718213053,,,,,36.75699300699301,,65.6221198156682,,14.94845360824742,,65.6221198156682,90.0,0,0,0,0,1,38.188768331767996,True,
Imagicaaworld Entertainment Limited,Accommodation and Food Service Activities,1.0,0.625,0.013771735301752972,0.45,1.0,0.917,0.6666666666666666,0.897734328358209,1.0,0.0,0.6515,0.0,1.0,34.750859106529205,,,,10.094501718213053,,,,16.108247422680407,36.75699300699301,,65.6221198156682,13.745704467353946,,26.432620214836707,65.6221198156682,13.745704467353946,0,0,0,0,0,34.11550915713078,True,
Jaiprakash Associates Limited,Accommodation and Food Service Activities,0.74685,0.27127500000000004,0.0003426668622937307,21.02,0.36605,1.0,0.16898333333333335,0.9181899637165658,0.5,0.0,0.298,0.0,1.0,,,,90.0,,57.795004306632215,,,,36.75699300699301,,65.6221198156682,13.745704467353946,90.0,,65.6221198156682,13.745704467353946,1,0,0,0,0,72.64290526013173,True,
KCP LIMITED,Accommodation and Food Service Activities,1.0,0.5,1.2998366576943427e-10,0.0,0.70435,0.8184,0.01618333333333333,0.6623333333333333,1.0,0.0,0.0,0.0,0.0,34.750859106529205,,,0.0,,,,,16.108247422680407,36.75699300699301,10.738831615120276,65.6221198156682,33.634020618556704,,26.432620214836707,38.18047571539424,33.634020618556704,0,0,0,0,0,30.56981749059609,True,
Mahindra Holidays & Resorts India Limited,Accommodation and Food Service Activities,1.0,1.0,0.001050000000073216,0.0,0.6572,0.7518,0.4646333333333333,0.9084069464851564,0.5,0.02564102564102564,0.225,4.2028427669903655e-13,0.6666666666666666,34.750859106529205,61.29725085910653,,0.0,,,,,,,,,,32.01603665521191,,,,0,0,0,0,0,32.01603665521191,True,
Prestige Estates Projects Limited,Accommodation and Food Service Activities,1.0,0.982025,0.0035779008142082748,0.0,0.295,1.0,0.8333333333333334,0.9947715156619398,0.5,0.0,0.59,0.0,0.0,34.750859106529205,,,0.0,,57.795004306632215,,,,36.75699300699301,,65.6221198156682,33.634020618556704,30.84862113772047,90.0,65.6221198156682,33.634020618556704,0,0,1,0,0,57.04616848929409,True,
Sula Vineyards Limited,Accommodation and Food Service Activities,1.0,0.41725625,0.0027031382172075344,0.0,0.8713,0.8824,0.1028,1.0,0.0,0.0,0.275,2.2540173324619602e-17,1.0,34.750859106529205,,,0.0,,,,51.13438045375218,56.572164948453604,36.75699300699301,,,13.745704467353946,,90.0,,13.745704467353946,0,0,1,0,0,73.05460099274532,True,
The Indian Hotels Company Limited,Accommodation and Food Service Activities,1.0,0.25,0.0033007703598467177,7.13,0.72515,0.8354,0.5420833333333334,1.0,0.5,0.015978695073235686,0.57,0.0,1.0,34.750859106529205,,,,,,,51.13438045375218,,,,65.6221198156682,13.745704467353946,,,65.6221198156682,90.0,0,0,0,0,1,75.37327188940091,True,
Reliance Industrial Infrastructure Limited,Administrative and Support Service Activities,1.0,1.0,0.002865874340431713,0.0,0.4766,1.0,0.35136666666666666,0.0,1.0,0.0,0.6498999999999999,0.0,1.0,34.750859106529205,61.29725085910653,,0.0,,57.795004306632215,,58.55148342059337,16.108247422680407,36.75699300699301,,65.6221198156682,13.745704467353946,38.46077856806699,37.13890795008893,65.6221198156682,13.745704467353946,0,0,0,0,0,39.60081762884355,True,
SANGHVI MOVERS LIMITED,Administrative and Support Service Activities,1.0,0.75,0.0004692416757779046,0.0,0.9793499999999999,0.9119,0.5468000000000001,0.7314090909090909,1.0,0.0,0.3332,0.0,0.3333333333333333,34.750859106529205,,,0.0,,,,,16.108247422680407,36.75699300699301,,65.6221198156682,,,26.432620214836707,65.6221198156682,,0,0,0,0,0,38.18947009508615,True,
